DOI,Author Keywords
10.1007/s10115-012-0571-0,Co-citation; Crowdsourcing; OpenStreetMap; OSM Semantic Network; P-Rank; Semantic similarity; SimRank; Volunteered Geographic Information
10.1177/0306312713478670,catchment; co-production; framing; governance; integrated catchment management; non-governmental organisations; participation; power; water
10.1177/1075547012466389,distributed simulation; framework model; immersion; public engagement; public understanding of science
10.1007/s10344-013-0717-8,Accuracy; Bias; Citizen science; Detection probability; Experience; Nocturnal mammals
10.1016/j.apgeog.2013.07.008,Forest values; National forests; PPGIS; Public participation; VGI
10.1016/j.marpolbul.2013.07.009,Cigarette; Citizen science; GSTC-MDI; Jekyll Island; Marine Debris; Plastics
10.1080/00045608.2013.776880,adaptive capacity; climate change; harvesting; human dimensions; Inuit; Iqaluit; methodology; vulnerability
10.1109/JSEN.2013.2265936,energy efficiency; gur Game; Participatory crowdsourcing; quality-of-information
10.3354/cr01172,Accipiter gularis; Calidris ferruginea; Citizen science; Climate change; Migration; Phenology
10.1016/j.str.2013.08.009,
10.1525/bio.2013.63.8.7,conservation; education; exotic plants; invasive species; protected areas
10.1511/2013.104.378,
10.1111/ropr.12037,Civil society; Comparative governance; Innovation; Nanotechnology
10.3138/CPP.39.3.431,Information barriers; Public participation; Public policy; Saskatchewan; Wind energy
10.1080/14498596.2013.801331,data quality; positional accuracy; volunteered geographic information
10.1080/08920753.2013.822284,agriculture; aquaculture; conflicts; epistemology; marine spatial planning; New Zealand; science; values; watershed management
10.1007/s11948-012-9423-2,Engineering ethics; Responsible innovation; Science and technology studies; Social and ethical aspects
10.1007/s11013-013-9330-2,De-medicalization; Diagnosis; Medicalization; Pathological; Self-medicalization; Self-medication; Symptom
10.1007/s00267-013-0121-x,"Community forest management; GIS; Knowledge integration; Landscape character; PGIS; Zanzibar, Tanzania"
10.1016/j.tree.2013.05.011,
10.1007/s00484-012-0598-7,Bird phenology; Climate change; Detectability; First arrival dates; Spring migration; Volunteers
10.1002/tea.21090,citizen science; informal science; nature of science (NOS); science literacy
10.1007/s11160-012-9295-1,Aboriginal; Catch-and-release; Co-management; Lake trout; Recreational fishery; Sahtudene; Sport fishery; Subsistence fishery
10.1007/s10530-013-0435-x,Citizen science; Emerald ash borer; Forest pests; Invasive species; Nuthatch; Woodpeckers
10.1016/j.biocon.2013.05.025,Cost-effectiveness analysis; Crowd sourcing; Long-term ecological monitoring; Policy; Quality control; Return on investment; Social research; Volunteer surveying
10.1111/aje.12052,Citizen science; Distance sampling; Google earth image; Large herbivores; Monitoring; Zambezi
10.1016/j.apgeog.2013.05.005,Geographic context analysis; Social media; Spatial data infrastructures; Spatio-temporal clustering; Volunteered geographic information
10.1016/j.compenvurbsys.2013.05.003,Agent-based models; Crowdsourcing; Disasters; GIS; Haiti; Volunteered geographic information
10.3897/zookeys.319.4342,Entomology; Hemiptera; Macrophotography; New technologies; Photosharing websites; Public Participation in Scientific Research
10.1038/srep02239,
10.1093/scipol/sct052,Bioeconomy; Hybrid forum; Performativity; Science policy; Spatiality; Synthetic biology
10.2196/jmir.2499,Citizen science; Crowd-sourcing; Health care singularity; Health Web Science; Medicine 2.0; Patient engagement; Semantic Web; Web Science
10.1007/s11569-013-0175-5,Focus groups; Intervention; Nanoethics in Portugal; Pedagogy of the Oppressed; Performativity; Theatre of the Oppressed
10.1111/tgis.12034,
10.1177/0963662511428045,animal experimentation; cross-cultural studies; public perception of nature; public perception of science
10.1177/1075547012458910,governance; public engagement; public participation; science centers; science museums
10.1177/1075547012460845,mass communication theory; public engagement; public perception of science; public understanding of science; quantitative analysis; science journalism; scientist's perception of public
10.1177/0963662511434894,attitudes; behavior; citizen science; global positioning systems; invasive species; science literacy; vegetation monitoring
10.1371/journal.pone.0069958,
10.1002/9781118679838.ch18,
10.5751/ACE-00569-080101,Acid rain; Citizen science; Common Loon; Ecosystem health; Gavia immer; Mercury; Monitoring; Pollution
10.1080/00045608.2012.707596,affect; emotions; indigenous politics; methodology; participatory GIS; qualitative GIS
10.1371/journal.pone.0068037,
10.1109/UT.2013.6519842,
10.1684/ers.2013.0631,Asbestos; Environmental exposure; Mixed methods; Popular epidemiology
10.1890/12-1366.1,Agricultural matrix; Citizen science; Dispersal ability; Habitat fragmentation; Habitat specificity; Landscape connectivity; Lepidoptera; Mark-release-recapture; Species mobility; Temperate woodland
10.1111/2041-210X.12053,Butterfly monitoring; Citizen science; Count data; Generalised additive models; Missing data
10.1111/ddi.12041,Citizen science; Detectability; Forest birds; New York; Observer effort; Occupancy modelling; Spatial autocorrelation; Species distribution
10.1016/j.fishres.2012.09.002,Cashes Ledge; Charleston Bump; Fisheries; Flower Garden Banks; Hancock Seamount; Marine protected areas; Participatory GIS; Sitka Pinnacles; Sustainable production
10.1016/j.nbt.2013.03.010,
10.1371/journal.pone.0065408,
10.1371/journal.pone.0065808,
10.1080/00219266.2013.764341,Botanical education; Botany; Open Air Laboratories (OPAL); Plant identification; Taxonomy; Teaching methods
10.1038/srep01835,
10.1080/15230406.2013.776211,Community detection; Community mapping; Social media; Statehood; Syria; Twitter
10.1080/17524032.2012.753634,Climate Change; Mixed Method Approach; National parks; National wildlife refuges; Place-based public engagement framework
10.1068/a45252,Climate change; Frames; Institutional reflexivity; Learning; Public engagement
10.1016/j.ecoser.2012.09.001,Landscape planning; Participatory GIS; Protected area; Service benefiting area (SBA); Service provision hotspot (SPH); Supply-demand flow
10.1080/09505431.2013.786997,citizen science; deliberation; public participation; renewable energy; visualization
10.1016/j.pgeola.2012.04.004,Citizen science; Crowd-sourcing; Crowdmap; GeoExposures; Temporary geological exposure; Ushahidi
10.1016/j.pgeola.2012.08.008,Geo-education; Geological outreach; Journalism; Mass media; Public engagement; Science communication
10.1890/11-2059.1,Biomass estimate; Carbon stocks; Citizen science; Data quality; Forest monitoring; Oxfordshire; Tree measurements; United Kingdom; Wytham Woods
10.1080/14636778.2013.788356,embryo research; governance; Human Fertilisation and Embryology Act; hybrid embryo; new labour; pluralism
10.1016/j.marenvres.2013.02.015,Anthropogenic litter; Chile; Citizen Science; Easter Island; Marine debris; Plastics; SE Pacific; Small plastic debris
10.1162/LEON_a_00557,
10.1088/0004-6256/145/6/151,"planets and satellites: detection; planets and satellites: individual (KIC 4552729b, KIC 10005758b, KIC 10005758c)"
10.2752/175303713X13636846944240,Animal welfare; Attitudes; Laboratory animals; Policy; Public engagement
10.1177/1075547012454598,institutional learning; mediators; public dialogue networks; public engagement with science; reflection; reflexivity
10.2752/175630613X13584367984947,Crowdsourcing; Human factors; Inclusive service design; Volunteered geographic information
10.1016/j.landurbplan.2013.02.007,Citizen science; Community greening; Green space; Urban biodiversity
10.1016/j.ocecoaman.2013.02.014,
10.1016/j.jnc.2012.12.004,Bioindicator; Citizen science; Cost-effective; Invertebrate; Non-destructive; Rapid technique; Scarabaeinae
10.1007/s11069-013-0724-9,Bayesian belief network; Cognitive map; Drought monitoring and early warning; Drought risk management; Hyogo Framework for Action; Participatory monitoring
10.1371/journal.pone.0064079,
10.1027/1864-1105/a000077,Public understanding of science; Public view of journalism; Science communication; Social science; Violent video games
10.1088/0004-637X/768/2/127,eclipsing; planets and satellites: detection; planets and satellites: general; stars: individual (KIC 4862625)
10.1371/journal.pone.0062763,
10.1179/0008704113Z.00000000081,Digital cartography; Geotechnology; Map services; Mash-ups; Neogeography
10.1080/13658816.2012.721552,3D building modeling; 3D city models; CityGML; OpenStreetMap; volunteered geographic information
10.1111/1478-9302.12010,Early career; PhD; Professional development; Relevance
10.1016/j.aquaeng.2012.11.004,Acoustics; Ambient noise; Aquarium; Citizen science; Hippocampus; Seahorse
10.1111/1365-2745.12067,Day-length; Growing degree-days; Local adaptation; Macroecology; Phenology; Plant-climate interactions; Plasticity; Time window
10.1080/09640568.2012.685628,conservation; participatory GIS; place; place-based management; PPGIS
10.1016/j.landurbplan.2013.01.009,Amenity value; Environmental design; Nature restoration; Perception surveys; Public engagement; Urban riverscapes
10.1007/s10661-013-3221-4,Ambient temperature; Antecedent precipitation; Citizen science; Hylidae; Monitoring protocol; Weather
10.1126/science.1230855,
10.1186/1472-6785-13-16,Biodiversity; Data sharing; Decadal vision; e-Infrastructure; Grand challenge; Informatics; Research infrastructure; Systems approaches
10.1109/JSTARS.2013.2250257,Accuracy; classification; land cover; volunteered geographic information
10.1186/1472-6785-13-13,Accumulation curves; Barcoding biotas; Bioblitz; Citizen science; Crustacea; Ostracoda; Sampling strategy; Species richness; Subarctic; Zooplankton
10.1016/j.gloenvcha.2012.12.008,Conditional acceptance; Deliberative methodology; Democracy; Geoengineering; Governance; Solar radiation management
10.1016/j.gloenvcha.2012.12.012,Dangerous climate change; Popular media; Public engagement; Public understanding of science; Uncertainty
10.1016/j.futures.2013.02.002,
10.1057/pol.2013.2,civil society; contentious politics; Fukushima; Japanese politics; nuclear power; public safety
10.1089/omi.2013.0034,
10.1111/j.1600-0587.2012.07738.x,
10.1177/0963662513476812,folk psychology; neuroscience; public engagement with science
10.1111/j.1472-4642.2012.00947.x,Biological atlas; Citizen science; Conservation planning; Resource allocation; Species distribution modelling; Volunteer monitoring
10.1016/j.biocon.2012.12.024,Butterflies; Citizen science; Climate change; Museum records; Phenology
10.1016/j.marpolbul.2013.01.015,AIC; Beach litter; Citizen-science; Mixed effects; Monterey Bay; Survey
10.1007/s11569-013-0167-5,Civil society organizations; Newly emerging nanosciences and nanotechnologies; Partnership DuPont and Environmental Defense Fund; Public sphere; Upstream public engagement
10.1139/er-2012-0035,Canadian Environmental Assessment Act; Cumulative effects assessment; Environmental assessment; Environmental impact assessment; Guidance; Practice; Science
10.1016/j.anbehav.2012.12.009,people power'; Citizen science; Crowdsourcing; Internet; Online resource; Opportunistic observation; Playback study; Preliminary testing; YouTube
10.1159/000349916,
10.1111/j.1541-0064.2012.00444.x,confidentialité; droits d'auteur; enjeux juridiques; information géographique volontaire
10.1108/13639511311302452,Community environmental policing; Community oriented policing; Community policing; Environmental crime; Environmental governance; Environmental justice; Police strategies; United States of America; Water supply; Watermonitoring organizations
10.1016/j.techfore.2012.10.007,Emerging technologies; Foresight; Governance; Key enabling technologies; Nanotechnology; Public engagement; Responsible research and innovation; Technology assessment
10.1017/S0025315412001166,activity rhythms; Citizen Science; Fourier analysis; Mediterranean Sea; rocky-reef fishes; visual census; waveform analysis
10.1111/eea.12038,Actinic bulb; Community science; Heath trap; Lepidoptera; Mercury vapour bulb; Moth sampling; Open Air Laboratories; Robinson trap; Scientific literacy; Skinner trap; Voluntary biological monitoring
10.1016/j.resourpol.2012.08.001,Coal mining; Environmental regulation; Mountaintop mining; Public ecology; Sustainable development
10.1016/j.apgeog.2012.11.012,Accessibility; Georgia; PPGIS; Site suitability analysis; Social services
10.1080/09669582.2012.699059,Barbados; environmental change; Geoweb; volunteered geographic information
10.1080/09669582.2012.693501,community participation; monitoring; participatory GIS; PPGIS; TOMM; tourism development
10.1177/0963662511403983,biological control; conservation; Hawaii; invasive species management; public engagement; risk communication; value predispositions
10.1098/rsbl.2012.1029,Bioacoustics; Citizen science; Conservation; Genomics
10.1007/s10531-013-0436-1,Citizen science data; Detection; Distribution; JAGS; Monitoring; Odonata
10.1068/a44674,Augmented reality; Internet; Neogeography; Place; Volunteered geographic information
10.1068/a45184,Deep democratisation; Democratisation; Hacker culture; Neogeography; Participatory GIS; Philosophy of technology
10.1068/a45161,China; Neogeography; Resistance; Tactic; VGI
10.1068/a44483,
10.1093/scipol/scs073,Dialogue; Practitioners; Public engagement; Science and society policy; Science communication
10.1890/110106,
10.1145/2422956.2422964,Algorithms
10.1016/j.spasta.2013.01.002,Complex network; OpenStreetMap; Spatial process
10.1038/nclimate1663,
10.1080/14649365.2012.733407,audio walks; place; public engagement; spatial practices
10.4155/cmt.12.75,
10.1177/1075547012438465,climate science; mass media; science communication; scientists' understanding of publics; socially robust knowledge
10.1177/0306312712462461,criticism and critique; lay membership; public engagement with science; sociology of justification; technical democracy
10.1016/j.cageo.2012.09.009,Citizen science; Earth observation; Remote sensing
10.1016/j.scitotenv.2012.10.095,Arsenic; Home-gardens; Mine tailings; Mining waste; Plant uptake; Vegetable
10.1080/09500693.2012.662609,Comparative study; Epistemology; Nature of science
10.3390/ijgi2020507,Error; OpenStreetMap; Point; Quality; Volunteered geographic information (VGI)
10.3390/ijgi2020385,Coastal planning; Collaborative mapping; ESRI GeoPortal Server; Geovisualization; Participatory GIS
10.3390/ijgi2030680,Citizen science; Data harmonization; Data quality; Data quality; Glaciology; Incidental information; Volunteered geographic information
10.3390/ijgi2020276,Adjustment; OpenStreetMap (OSM); Positional accuracy; Roads; Vector
10.3390/ijgi2041066,Building data; Completeness; OpenStreetMap; Quantitative comparison; Volunteered Geographic Information (VGI)
10.3390/ijgi2020349,Accuracy assessment; Collaborative mapping; Data quality; Formal and informal data; Geospatial dataset matching
10.3390/ijgi2030766,Semantic interoperability; Semantic web; Sensor data; Volunteered geographic information
10.1002/symb.74,Goffman; interaction; interactive art; scripts; shyness
10.1109/eScience.2013.52,
10.1177/0022146513484473,advocacy; community-based participatory research; environmental health; interdisciplinarity; social movements
10.1016/j.envpol.2013.03.034,Air pollution; Biomonitoring; Citizen science; Lichens; OPAL
10.3354/esr00480,Breeding probability; Community-based monitoring; Dermochelys coriacea; Leatherback turtle; Papua New Guinea; Population demography; Survival
10.1111/tgis.12033,
10.3957/056.043.0114,Bias; Camera trap; Citizen science; Data archives.; Data mining; Felis aurata; Meta-data; Profelis aurata
10.1109/TGRS.2013.2252015,Geospatial data; human computation; linked data; ontology; provenance; semantic web; volunteered geographic information
10.1016/j.ascom.2013.10.001,BOINC; Cloud computing; Distributed client computing; MAGPHYS; Pan-STARRS1; Spectral energy distribution
10.1002/wsb.281,Bird feeding; Canada; Citizen science; Demographics; Public attitudes; Recreation; Serious leisure; Survey; United states
10.1016/j.respol.2013.05.008,Emerging technologies; Ethics; Geoengineering; Governance; Responsible innovation
10.1016/j.cviu.2012.11.014,Medical imaging; Non-expert image segmentation; Segmentation uncertainty; Statistical analysis of planar curves
10.1179/0308018813Z.00000000050,Between; Brain; Curating; Magnetic resonance imaging; Phenomenology; Visual arts
10.1177/194008291300600403,Amazon; Crocodilians; Local community; Participatory monitoring
10.2971/jeos.2013.13057,Chromaticity; Colour of water; Forel-Ule; Optical properties; Spectral transmission
10.1016/j.pmcj.2012.09.002,Citizen science; Environmental policy; Mobile phones; Noise mapping; Participatory sensing
10.18352/ijc.395,Authority; Big data; Content curation; Crowdsourcing; Digital curation; Digital information commons; Social technology
10.1002/wcc.234,
10.1890/12-1165.1,Aphodius spp.; Citizen science; Dung beetles; Dung decomposition; Earthworms; Ecosystem functioning; Ecosystem services; Experimental study; Finland; Geotrupes spp.
10.1177/0162243913485450,computer modeling; environmental practices; expertise
10.1016/j.jag.2012.11.002,Accuracies; Accuracy; Geographically weighted models; Portmanteau and partial portmanteau; Producer's; User's; VGI
10.1017/S0305741013000349,activism; China; health effects; industrial pollution; lay epidemiology; popular epidemiology; uncertainty
10.1525/auk.2013.12229,Annual cycle; Habitat use; Migration; Stopover sites; Tachycineta bicolor; Tree Swallow
10.1007/s11191-011-9412-x,
10.1007/s10841-012-9523-y,Agriculture; Community structure; Landscape composition; Lepidoptera; Species richness
10.1080/02560046.2013.766976,edutainment; HIV; public engagement; public health; rural communities; small media; South Africa; taxi
10.1525/auk.2012.12058,Archilochus colubris; Arrival; Bird phenology; Citizen science; Climate change; Ecosystem services; Ruby-throated Hummingbird; Spatial trend.
10.1068/a44482,
10.3390/s130100021,Community based monitoring; Forest carbon; Forest change; Mobile devices; MRV; REDD+
10.1111/dech.12002,
10.1177/0963662511399685,dialogue; discourse analysis; power; public engagement
10.1177/0963662512471911,bibliometrics; citation analysis; ego networks; lexicographical analysis; scientometrics; sociology of scientific knowledge
10.1111/j.1365-2907.2011.00208.x,Cetacean; Citizen science; Coastal zone management; Renewable energy; Spatial ecology
10.1177/1050651912448871,citizen science; civic discourse; environmental rhetoric; expert discourse; risk communication
10.1016/j.envpol.2013.07.045,Air pollution index; Bioindicator species; Citizen science; Nitrogenous air pollutants; OPAL
10.1093/scipol/scs024,Civic science; Governance; Innovation; Multi-institutional research collaborations; Procedural justice; Public participation
10.1145/2389176.2389188,Citizen-science; Data quality; Engagement; Purposeful gaming motivation; Socio-computational systems
10.1093/scipol/scs089,Innovations; Participatory performance; Policy-makers; Public engagement; Science and technology policy
10.1093/scipol/scs091,Innovation performance; Science in society; Scoreboards
10.1109/CEC.2012.29,Collective intelligence; GIS; Information quality; OpenStreetMap; Volunteered Geographic Information
10.1037/a0029041,Affective computing; Mobile applications; Mobile phones; Perceptual computing; Social media; Therapeutic alliance; Wearable sensors
10.1071/MU12009,generalised linear models; geographical bias; human behaviour; monitoring; New Atlas of Australian Birds.
10.1109/OCEANS.2012.6404924,concept mapping; Education and Public Engagement; Education visualization tools; EPE; informal education; lab/lesson builder; Ocean Observatories Initiative; OOI; transformative learning; undergraduate education
10.1109/OCEANS.2012.6404865,AUV; informal science education; marine archeology; ROV; Unmanned vehicles
10.1109/OCEANS.2012.6404783,Crowdsourcing; Data Management; Data Visualization; Interactive Instrument Control; multi-disciplinary science; Ocean Observatory; Web 2.0
10.3390/su4091984,Biological corridor; Birds; Citizen science; Community-based monitoring; Conservation biology; Development; Human productive activities; Management; Tropics
10.5751/ES-04955-170402,Cognitive processes; Common knowledge; Conservation psychology; Everyday life; Garden Butterflies Watch; ordinary biodiversity; planned behavior theory; self-learning; Key Words: Citizen science
10.5751/ES-05263-170431,Citizen science; Deepwater Horizon; Health; Oil spill
10.1071/WR12092,abundance; flickr; online database; photo-identification; resight; survival; threatened species; YouTube
10.3390/s121217504,Cartography; Metadata; Mosaicking; Orthoframes; Volunteered geographic information
10.1080/09505431.2012.705272,ancestry; biobanking; genomics; governance; population; Public
10.1080/14634988.2012.729780,adaptive management; ecosystem management; environmental monitoring
10.1080/14636778.2012.687138,good/ethical scientist; interspecies embryos; public engagement
10.1080/00438243.2012.736273,application programming interfaces; citizen sensors; geospatial web; Neogeography; volunteered geographic information; Web 2.0
10.1140/epjst/e2012-01707-y,
10.1080/13658816.2012.719623,big data; data synthesis; geodemographics; neighbourhood profiling; research practice
10.1007/s11852-012-0203-6,Beach dynamics; Beach profiling; Citizen science; Community-based monitoring; Environmental education; Volunteers
10.1080/11263504.2012.740089,Biodiversity informatics; citizen science; database; education; FRIDA; smartphone; tablet
10.1016/j.cosust.2012.10.008,
10.1111/nph.12027,Citizen science; Fungal diversity; Inventory; Mycoflora; Survey
10.1016/j.jnc.2012.08.002,Citizen science; Deprived areas; Monitoring; Nature conservation organisations; NGO; Public participation; Wellbeing; Wildlife monitoring
10.1016/j.cageo.2012.06.015,Citizen science; E-geoscience; Hydrology; Python; Streamgaging
10.1177/1075547011432804,public involvement; public perception of science; public relations; public understanding of science
10.1177/1075547011433887,discursive psychology; displays of tolerance; linguistic anthropology; plant genomics; scientists' understanding of laypeople
10.1109/ICICEE.2012.529,citizen generated information; data quality; Spatial Data; Web 2.1
10.1109/IGCC.2012.6322258,computational sustainability; dynamical ecosystem models; hidden Markov models; species distribution models
10.1371/journal.pone.0047712,
10.1080/10511482.2011.634427,Crowd sourcing; Data; Economic development; Geographic information systems; Housing; Public participation; Urban planning; Volunteered geographic information
10.1586/erm.12.125,anticipatory governance; engagement; ethics; innovation policy; nanodiagnostics; nanotechnology; responsible innovation; risk and uncertainty; sociotechnical integration; theranostics medicine
10.1007/s10531-012-0355-6,Camera trap; Detection bias; Law enforcement patrols; Locally-based monitoring; Mammal monitoring; Protected area management; Sampling error; Survey methods; West Africa; Wildlife conservation
10.1890/110185,
10.1016/j.marpolbul.2012.08.020,Bolus; Citizen science; Diet; Glaucous-winged Gulls; Plastic consumption
10.1177/0963662511414982,cloning; drama-documentary; interactive media; public engagement; public understanding of science; science communication; stem cells; television
10.1007/s00267-012-9924-4,Benchmark; Citizen science; Cost-effective; Data collection; Data credibility
10.1080/00221341.2011.652648,active learning; children's geographies; environmental geography; public lands; student attitudes
10.1080/00330124.2011.614571,cyberscapes; Internet; neogeography; religion; volunteered geographic information
10.1080/00045608.2011.627058,citizen science; open source; participatory GIS; sudden oak death; volunteered geographic information; Web GIS
10.1016/j.actaastro.2012.05.034,Education; Exploration; Global; Partnerships; Space
10.1371/journal.pone.0046170,
10.1007/s11948-012-9398-z,Education; Ethics; Multi-disciplinary; Neuroethics; Neuroscience; Public engagement
10.1111/j.1752-1688.2012.00670.x,Citizen science; Drinking water; K-12 students; Trust
10.1177/0963662510386292,attitude change; biotechnology; dialogue; influence; self-efficacy
10.1177/1075547012443021,public perception of scientists; public understanding of science; scientific
10.1177/0306312712450939,East Asia; governance; public engagement; stem cell research
10.1177/1075547011434991,bioethics; descriptive case study; expert source; media coverage of bioethical issues; organizational news routines
10.1080/15324982.2012.709214,approach; benchmark watershed; biophysical suitability; land tenure; participatory GIS multidisciplinary; socio-economic suitability
10.1007/s00267-012-9909-3,Biodiversity monitoring; Biological resource monitoring; Community-based monitoring; Local biodiversity monitoring; Tonle sap
10.1038/scientificamerican1012-48,
10.1111/j.1365-2664.2012.02174.x,Citizen science; Conservation effectiveness; Conservation management; Evidence-based conservation; Habitat management; Management guild; Multispecies assemblage; Regional distinctiveness; Semi-natural habitat
10.1177/0309133312456414,climate change; geoengineering; public engagement; science governance; solar radiation management; stratospheric aerosol injection
10.1007/s10841-011-9450-3,Bombus spp.; Conservation; Nest ecology; Public outreach; Species decline
10.4039/tce.2012.64,
10.1007/s10584-012-0424-6,
10.1016/j.cageo.2012.04.021,Geoprocessing Web; Geospatial Web service; Real-time geospatial information; Semantic web; Volunteered geographic information; Web processing service
10.1016/j.funeco.2011.10.003,Chao2; Citizen science; Fungal fruiting; Phenology; Sampling quality
10.1016/j.envsoft.2012.01.018,Critique; Expertise; Framing; Participation; Science
10.1371/journal.pone.0045822,
10.1016/j.landurbplan.2012.06.007,Landscape; Landscape classification; Participatory GIS; PPGIS; Values
10.1371/journal.pone.0044680,
10.3390/ijgi1020166,Disaster management; Remote sensing (RS); Spatial data infrastructure (SDI); Volunteered geographic information (VGI)
10.3390/ijgi1020186,Agent-based simulation; Emergency management; Evacuation simulation; Indoor evacuation; IndoorOSM; MATSim; OpenStreetMap (OSM); Rescue planning
10.3390/ijgi1020146,Activity; Community; Contributions; OpenStreetMap; Volunteered geographic information (VGI)
10.4031/MTSJ.46.5.6,
10.1057/biosoc.2012.21,discourse analysis; essentialism; media; neuroimaging; reductionism; science communication
10.1080/17538947.2012.712273,data quality; Digital Earth; social networks; volunteered geographic information
10.1007/s10531-012-0347-6,Citizen science; Farmland Birds; Maxent; Occurrence data bias; Species distribution models
10.1007/s11119-012-9267-4,GIS; Low technology; Participatory GIS; Site-specific; Smallholders
10.1177/0162243911430398,engagement; expertise; governance; intervention; other; politics; power
10.1177/0162243911428624,controversy; design; engagement; idiot; methodology; public
10.1177/1357034X12450592,biological citizenship; bottled water; consumption; exercise science; health markets; hydration; public engagement with science; technologies of the self
10.1002/jwmg.373,American pika; citizen science; distribution; Glacier National Park; observer variability; Ochotona princeps; professional; volunteer
10.1111/j.1365-2966.2012.20770.x,"Dust, extinction; Hii regions; Infrared: ISM; Stars: formation"
10.3897/zookeys.209.3472,Biodiversity; Citizen science; Digitization; Museum collections; Natural history museums; Open source; Transcription
10.1088/0004-637X/755/1/71,Hii regions; infrared: ISM; ISM: bubbles; stars: formation; stars: massive
10.1371/journal.pone.0042574,
10.1890/11-2177.1,Birds; Butterflies; Citizen science; Commonness; Community structure; Informatics; Mammals; Maximum entropy; Rarity; Species abundance distribution; Trees
10.1080/01587919.2012.692053,inquiry learning; open educational resources; participation; science
10.1080/13658816.2011.636012,classification schema integration; semantic similarity; spatial data integration; structural similarity; VGI data
10.1890/110274,
10.1111/j.1467-9671.2012.01304.x,
10.1890/110236,
10.1890/110273,
10.1890/110276,
10.1890/110258,
10.1890/110278,
10.1890/120007,
10.1890/110283,
10.1890/110277,
10.1890/110266,
10.1111/j.1467-9671.2012.01302.x,
10.3390/su4061239,Ecosystem approach; Great lakes; Public engagement; Shared water; Sustainable management approaches
10.3366/anh.2012.0062,Janet Harvey Kelman; Popular science; Science education; Scientific images; William Plane Pycraft
10.1088/0004-637X/754/2/129,planets and satellites: detection; planets and satellites: general
10.1016/j.ecolecon.2012.04.024,Climate change; Coastal adaptation; Google Earth; Participatory GIS mapping; Science-policy interface; Sustainability
10.1016/j.forpol.2012.03.007,Citizen science; Democracy; Forest management; Natural resource management; Participatory research; Public participation
10.1371/journal.pone.0041634,
10.3354/meps09737,Basking shark; Cetorhinus maximus; Citizen-science; Conservation; Marine vertebrates; Public sightings
10.1073/pnas.1202383109,Scientific communication; Visualization
10.1016/j.apgeog.2012.06.002,Character; Extrapolation; Landscape; Participatory GIS; PPGIS; Values
10.1007/s10707-012-0159-6,Citizen science; Phenology; Random effects models
10.1002/eet.1587,Biodiversity monitoring; Biotechnology; Collaborative decision-making; Environmental risk analysis; Social learning; Stakeholder engagement
10.1080/13658816.2011.629618,distance decay; geotagging; user-generated content; volunteered geographic information; Wikipedia
10.1111/j.1472-4642.2012.00883.x,Biological control; Biological invasions; Citizen science; Coccinellidae; Harmonia axyridis; Population decline
10.1007/s00267-012-9866-x,"""My Yard Counts""; ""PredatorWatch""; Birdfeeders; Domestic cat; Predator-prey interactions; Urbanization"
10.1016/j.socscimed.2012.02.049,Bioethics; Cultural values; Governmentality; Human/animal mixing; Liberal government; Science governance
10.1111/j.1600-0706.2011.19888.x,
10.1002/jwmg.326,citizen science; habitat; landscape; New York; Ontario; spatial autocorrelation
10.1016/j.ecolind.2011.12.004,Ecosystem services; Landscape functions; Landscape management; Landscape values; Participation; Participatory GIS
10.2196/jmir.1988,Community-based participatory research; Consumer participation; Genomics; Health care research; Health services research; Individualized medicine; Medicine; Personalized medicine; Preventive medicine; Public health
10.1186/1471-2458-12-428,Alcohol; Alcohol-related harm; Anonymised record-linkage; Multilevel analysis; Outlet density; Spatial analysis
10.5558/tfc2012-051,Collaborative learning; Model Forest; Multifunctional land use; Participatory GIS (pGIS); Reindeer husbandry plans; Reindeer-herding community
10.1002/wsb.139,Citizen science; Glacier National Park; N-mixture models; Oreamnos americanus; Population monitoring; Volunteers
10.1590/S1413-81232012000600013,Environmental health; Environmental justice; Local knowledge; Popular epidemiology
10.1890/11-1614.1,"Citizen scientists; Community structure; Data quality; Diversity; Ecological indices; Education; Hawaii, USA; Intertidal monitoring; Trained volunteers"
10.1159/000336671,Biobank; Data sharing; Focus groups; Genetic privacy; Policy; Public engagement; Qualitative research; Reciprocity; Research participation
10.1007/s11024-012-9197-3,Citizenship; Civil society; Deliberative democracy; Political society; Public engagement with science; State of exception
10.1111/j.1548-1433.2012.01425.x,Anthropology of science; Maya hieroglyphs; Public science; Witnessing
10.1111/j.1541-0064.2012.00418.x,adaptation; climate change; hunting; Inuit; vulnerability
10.1002/asi.22633,collaboration; computer mediated communications; human computer interaction
10.1111/j.1523-1739.2012.01825.x,Citizen monitors; Citizen sensors; Lepidoptera; Sampling effort; Species accumulation; Urban biodiversity; Volunteer efficiency
10.1007/s10961-010-9175-6,Academic entrepreneurship; Institutional theory; Quantitative; Start-ups
10.1186/gb-2012-13-5-158,Biobank; Collaboration; Genomics; Governance; Networks; Public participation; Social media; Web 2.0
10.1016/j.spasta.2012.03.002,Crowdsourcing; Data quality; Geographic information; Volunteered geographic information
10.1007/s10661-011-2185-5,Citizen-based monitoring; Reef check california; Rocky reef; Underwater visual census
10.1016/j.hal.2012.02.007,"Pseudo-nitzschia, Domoic acid; Southeast; Volunteer monitoring"
10.1080/00045608.2011.595657,Geospatial Web; neogeography; spatial data infrastructure; volunteered geographic information; Web 2.0
