DOI,Q
10.1609/aimag.v35i2.2533,Q74021410
10.1016/j.ebiom.2015.05.009,Q30660858
10.22323/2.15030203,Q73472465
10.3897/zookeys.480.8803,Q22676343
10.1371/journal.pone.0156388,Q26315346
10.1109/MMUL.2010.79,Q73171030
10.1007/s11606-013-2536-8,Q37471407
10.1186/1476-072X-10-67,Q28732246
10.1016/j.endeavour.2014.03.002,Q42665326
10.1016/j.ympev.2014.09.010,Q30857255
10.1109/BigDataService.2015.64,Q73170931
10.1016/j.actatropica.2013.11.019,Q35057570
10.1177/1075547011427974,Q73180445
10.1080/17538947.2015.1008214,Q73168990
10.1890/110273,Q73183810
10.1080/13658810110075987,Q58263153
10.1111/risa.12466,Q43898818
10.1111/cag.12119,Q73172116
10.1111/dech.12002,Q73172228
10.1179/1743277414Y.0000000085,Q55967185
10.1109/MCSE.2015.65,Q58913342
10.1007/s10698-015-9234-z,Q73134203
10.1038/NNANO.2008.362,Q73165864
10.1136/jme.2009.031674,Q51762862
10.1080/15230406.2013.776211,Q56773346
10.3152/030234211X13092649606404,Q73184056
10.1093/scipol/sct007,Q73170034
10.1016/j.polgeo.2009.03.001,Q73141468
10.1080/1523908X.2014.914894,Q56807165
10.22323/2.15040204,Q74021414
10.1890/13-2223.1,Q58240319
10.1111/dech.12122,Q73172230
10.1111/1365-2664.12226,Q56451358
10.1371/journal.pone.0150935,Q28601523
10.1016/j.envsoft.2014.01.025,Q73140305
10.1371/journal.pone.0024206,Q30395840
10.1111/1365-2656.12161,Q42635015
10.1525/abt.2016.78.4.317,Q56407776
10.1371/journal.pone.0065808,Q28681275
10.1007/s11051-011-0525-6,Q73135119
10.1016/j.ecolecon.2014.02.010,Q73140018
10.1016/j.respol.2013.05.008,Q57941380
10.1371/journal.pone.0140811,Q35814605
10.1111/1365-2664.12423,Q30374388
10.1007/s10841-010-9345-8,Q57251423
10.1553/giscience2013s39,Q73183474
10.1109/TMECH.2013.2287705,Q73171051
10.1016/S0301-4797(03)00063-X,Q47387498
10.1111/j.1600-0706.2011.19888.x,Q60286673
10.1371/journal.pone.0119324,Q30000639
10.3989/redc.2014.2.1096,Q73186844
10.1177/0963662514539074,Q48072315
10.1002/ece3.1996,Q35986086
10.1177/0963662505056611,Q56057997
10.1002/2014WR016824,Q73117270
10.1080/17538947.2012.712273,Q73168978
10.1080/17538947.2010.484869,Q73168970
10.1111/conl.12113,Q73172196
10.1007/s13280-015-0704-2,Q36217563
10.1016/j.ecolind.2015.01.003,Q60578712
10.1007/s13280-015-0705-1,Q28608376
10.1177/1075547001023001002,Q56687037
10.1177/0963662514552600,Q43324540
10.1080/09505431.2014.986323,Q73168041
10.1177/0162243914560649,Q73177311
10.1177/0162243915571166,Q73177313
10.1016/j.ecoinf.2014.08.008,Q57788848
10.3391/ai.2011.6.3.03,Q56743540
10.1371/journal.pone.0041634,Q30558683
10.1007/s10900-010-9254-5,Q39887650
10.1371/journal.pbio.1000385,Q30000969
10.1016/j.marenvres.2013.02.015,Q40101814
10.1002/ece3.1094,Q30865926
10.1656/058.015.0205,Q74021417
10.1016/j.apgeog.2014.06.014,Q73139183
10.1016/j.joi.2014.09.005,Q61822058
10.1371/journal.pone.0141371,Q35852507
10.1016/j.socscimed.2011.01.001,Q48910716
10.1890/14-0702.1,Q40644994
10.1371/journal.pone.0094593,Q35152063
10.22323/2.14020206,Q74021423
10.1007/s10531-005-8392-z,Q56554277
10.1016/j.apgeog.2012.04.007,Q57133591
10.1002/1098-2736(200101)38:1<70::AID-TEA5>3.0.CO;2-L,Q73117258
10.1111/1467-954X.12282,Q73172041
10.1177/1075547011434991,Q73180453
10.1002/wcc.333,Q73121665
10.1177/0963662515605420,Q40489214
10.1111/j.1467-9671.2009.01157.x,Q73173726
10.1111/gcb.13129,Q31004825
10.1890/15-0416.1,Q56421845
10.1007/s10588-010-9068-0,Q73133931
10.2196/jmir.3645,Q35055859
10.1016/j.pgeola.2012.08.008,Q73141451
10.1038/471037a,Q59082926
10.1016/j.biocon.2009.05.006,Q73139270
10.3354/meps08149,Q58088096
10.1111/bij.12581,Q57038110
10.1177/0963662513493575,Q39378059
10.1890/ES13-00364.1,Q57441960
10.1676/13-037.1,Q74021442
10.1080/15265161.2015.1103804,Q38398917
10.1007/s11948-012-9398-z,Q36354364
10.1007/s11852-012-0203-6,Q73135252
10.5751/ES-07243-200146,Q73230709
10.1007/s10714-014-1764-5,Q59451941
10.1002/tea.21192,Q73121598
10.1177/0963662513494560,Q73180342
10.3389/fpsyg.2015.01868,Q41951063
10.1016/j.scitotenv.2015.07.104,Q40302806
10.1650/CONDOR-15-78.1,Q73183538
10.1016/j.wasman.2014.08.011,Q38394957
10.3354/esr00647,Q73184622
10.1111/j.0361-3666.2004.00266.x,Q39129364
10.1371/journal.pone.0142110,Q31015721
10.1080/13658816.2015.1101116,Q73168753
10.3161/173484714X687046,Q73184061
10.1016/j.foreco.2014.02.008,Q58325624
10.1007/s10530-013-0435-x,Q56483461
10.1111/jofo.12121,Q73173876
10.5751/es-00505-070103,Q73230692
10.5334/cstp.15,Q58711760
10.1016/j.compenvurbsys.2016.02.009,Q73139962
10.1016/j.jenvman.2007.08.033,Q48332458
10.1111/bij.12534,Q56417563
10.1109/CISTI.2015.7170469,Q74021445
10.1016/j.ecoser.2014.10.007,Q73140042
10.1016/j.atg.2015.08.002,Q36717725
10.14512/gaia.21.4.19,Q74021448
10.1080/21548455.2014.986770,Q73169747
10.1068/a140061p,Q73166296
10.1525/abt.2010.72.9.10,Q73183424
10.3897/zookeys.150.2149,Q22679586
10.1177/0963662513476220,Q39270550
10.1016/j.eswa.2015.02.013,Q73140328
10.1038/gim.2011.29,Q50976153
10.1021/ed500050d,Q56423294
10.1080/13504622.2013.812720,Q73168222
10.1080/17547075.2015.1104900,Q73169003
10.1111/tgis.12155,Q73174897
10.1007/s13280-015-0758-1,Q36777752
10.1111/j.1523-1739.2005.00548.x,Q58307164
10.1353/cpr.2015.0066,Q47916094
10.1111/j.1365-2664.2010.01874.x,Q73173677
10.1016/j.scitotenv.2014.08.021,Q28395372
10.1590/S1413-81232012000600013,Q74021451
10.1068/a39279,Q59620361
10.1017/S1466046614000489,Q58391086
10.1111/area.12116,Q73172094
10.1371/journal.pbio.1002453,Q40985826
10.1023/A:1025545813057,Q47431722
10.1086/685095,Q35973938
10.1016/j.ecolind.2014.04.050,Q58836795
10.3390/s16030373,Q36745632
10.1890/13-1830.1,Q30852505
10.1097/DMP.0b013e3181ac194f,Q30227674
10.1007/s11948-014-9581-5,Q48067344
10.1371/journal.pone.0014381,Q33778390
10.1002/bies.201300149,Q28655928
10.1007/s10531-008-9514-1,Q59160555
10.1103/PhysRevE.93.032311,Q41946968
10.1016/j.trc.2014.10.007,Q55967174
10.1111/cobi.12263,Q50673904
10.1016/j.biocon.2010.11.010,Q73139274
10.5194/nhess-14-2681-2014,Q58895363
10.1016/j.apgeog.2015.01.006,Q73139186
10.1553/giscience2013s91,Q73183475
10.1002/tea.21297,Q57917821
10.1080/09640568.2015.1054477,Q73168098
10.1002/wsb.139,Q73121680
10.1111/ddi.12274,Q61775656
10.1002/ece3.1106,Q30432304
10.1002/jwmg.610,Q73121417
10.1111/j.1600-0587.2011.00544.x,Q57895727
10.1111/j.1523-1739.2011.01657.x,Q33877804
10.5751/ES-07601-200315,Q57034416
10.1371/journal.pone.0113395,Q34557268
10.1007/s10531-009-9646-y,Q73133899
10.1111/j.1467-9671.2011.01288.x,Q73173735
10.1007/s10796-012-9350-4,Q73134246
10.1177/1075547011433887,Q73180450
10.2307/3868165,Q55870951
10.7717/peerj.1980,Q36014836
10.1371/journal.pone.0044680,Q34427246
10.1111/j.2041-210X.2011.00164.x,Q73173828
10.1016/j.tree.2015.02.001,Q38377563
10.1177/0963662507082016,Q73177414
10.1007/s10071-016-0976-3,Q47448261
10.1890/ES14-00133.1,Q58319534
10.1098/rstb.2014.0129,Q27324198
10.1890/11-2129.1,Q44032416
10.1007/s11948-011-9328-5,Q57564064
10.1890/11-1614.1,Q34349464
10.1177/0002716214559699,Q73177261
10.1177/0162243908329382,Q61311355
10.1371/journal.pone.0147796,Q29999995
10.1016/j.enpol.2015.05.002,Q57422329
10.1016/j.annals.2015.05.002,Q59191485
10.1016/j.cosust.2015.11.006,Q58824666
10.1080/00330124.2013.866431,Q73167030
10.1080/00330124.2011.566512,Q57199328
10.1038/nature17620,Q50520540
10.1007/s13593-016-0359-9,Q56929394
10.1007/s11109-006-9007-4,Q73135156
10.1111/ibi.12207,Q57179451
10.1007/s00484-013-0649-8,Q30596515
10.1016/j.trc.2016.04.003,Q73141998
10.2217/PME.09.48,Q24634042
10.7717/peerj.1303,Q41993073
10.1676/13-066.1,Q74021459
10.1111/cag.12093,Q57766116
10.1175/BAMS-D-11-00168.1,Q73177253
10.1109/PerComW.2014.6815235,Q59586897
10.2989/00306525.2014.959088,Q58849262
10.1007/s10526-011-9419-x,Q56567647
10.1016/j.jhydrol.2016.04.062,Q73140792
10.1080/09669582.2015.1136637,Q73168118
10.5334/cstp.46,Q73230672
10.1007/s10584-014-1108-1,Q73133927
10.1080/13658816.2014.909045,Q73168733
10.7717/peerj.742,Q35032141
10.12681/mms.1239,Q56440919
10.7717/peerj.714,Q33609694
10.1016/j.biocon.2011.11.020,Q73139282
10.22323/2.15040501,Q74021463
10.1007/s11069-016-2284-2,Q59464625
10.1371/journal.pone.0150794,Q35960587
10.1371/journal.pone.0155571,Q42806122
10.1177/0963662508098575,Q48204046
10.1371/journal.pone.0156409,Q28602042
10.1177/0308518X15592302,Q73177370
10.1007/s10393-009-0256-7,Q33517018
10.1111/aec.12188,Q57061299
10.1016/j.techfore.2014.07.005,Q73141968
10.1177/1357034X12450592,Q73180512
10.1177/0963662512472160,Q73180327
10.1177/1075547016642240,Q73180499
10.1145/2808797.2809393,Q57395821
10.1016/j.socscimed.2011.05.046,Q56776803
10.1177/0963662513510646,Q39270546
10.22323/2.15030501,Q73472474
10.1177/1075547008326943,Q59139199
10.1111/cura.12046,Q59941764
10.1002/ece3.2009,Q34046631
10.1016/j.envsoft.2015.12.015,Q59866619
10.1007/s11165-016-9514-1,Q73135175
10.1093/mnras/stt1458,Q56882483
10.1111/j.1365-2966.2010.17994.x,Q57310900
10.1553/giscience2013s328,Q73183468
10.1371/journal.pone.0086925,Q30744820
10.1553/giscience2013s355,Q73183470
10.5751/ES-03603-150404,Q74021467
10.1016/j.compenvurbsys.2010.05.001,Q73139797
10.1890/15-0914.1,Q73183853
10.1016/j.nbt.2013.03.010,Q38097319
10.1177/0963662505056616,Q73177405
10.1080/14636770500184842,Q40340883
10.1111/gec3.12193,Q73173592
10.1016/j.geoforum.2011.07.007,Q73140419
10.1016/j.jag.2015.03.012,Q57510724
10.1109/FiCloud.2015.112,Q73170966
10.1080/13658816.2012.719623,Q73168711
10.1016/j.pgeola.2012.04.004,Q73141449
10.1177/0309132509340711,Q73177377
10.1177/0309132508094076,Q73177375
10.1177/0309132510374250,Q73177379
10.1007/s10115-012-0571-0,Q55833124
10.1080/13658816.2013.830728,Q73168726
10.1080/03057267.2014.952154,Q73167127
10.3233/SW-130129,Q73184600
10.1016/j.compenvurbsys.2014.06.005,Q73139801
10.1016/j.jtrangeo.2013.09.016,Q73141032
10.1016/j.marpolbul.2013.12.002,Q44400173
10.1016/j.compenvurbsys.2013.05.003,Q56773350
10.1007/978-1-4020-9642-6_9,Q73121730
10.1659/0276-4741(2003)023[0320:GAATIP]2.0.CO;2,Q73183553
10.3390/ijgi3020662,Q73184869
10.3390/rs6021739,Q55670521
10.5334/cstp.40,Q56917204
10.1016/j.biocon.2014.10.021,Q56687042
10.1016/j.actaastro.2012.05.034,Q56623011
10.1002/symb.74,Q73121573
10.1071/WR14148,Q60507195
10.1016/j.jas.2011.01.003,Q54914974
10.7717/peerj.1960,Q36881067
10.1177/0306312712450939,Q44498836
10.1016/j.socscimed.2012.02.049,Q36118344
10.1111/j.1475-682X.2005.00113.x,Q73173763
10.1093/mnras/stu2554,Q69103832
10.1007/s00267-015-0613-y,Q28602613
10.1080/1369118X.2013.848918,Q73168809
10.1016/j.foodqual.2016.02.007,Q73140363
10.1080/17538947.2013.781688,Q73168979
10.1186/s12961-016-0093-4,Q36725086
10.1075/is.10.3.07roc,Q73166382
10.2111/REM-D-13-00124.1,Q73183874
10.1093/scipol/scu017,Q73170047
10.1136/jech.2004.021279,Q43078183
10.22323/2.14020202,Q74021468
10.22323/2.14030405,Q74021472
10.22323/2.14040201,Q74021475
10.1016/j.landusepol.2014.10.021,Q73141095
10.1080/03014223.2013.816327,Q57197241
10.1002/ecs2.1216,Q73119829
10.7717/peerj.838,Q35205060
10.1007/s12237-015-9961-3,Q73137191
10.7589/0090-3558-37.1.72,Q44684819
10.1016/B978-0-8155-1578-4.50045-7,Q61922948
10.1080/00393630.2015.1117861,Q58535395
10.1002/wcc.320,Q73121662
10.1017/S0030605313000227,Q73142096
10.1093/spp/37.9.703,Q74021237
10.1179/000870410X12911304958827,Q57538233
10.1007/s10531-005-8404-z,Q60326980
10.1080/03736245.2014.924866,Q73167146
10.1111/tgis.12034,Q73174878
10.1007/s10980-014-0137-5,Q57649915
10.1016/j.shpsa.2013.07.010,Q73141913
10.1111/j.1475-4762.2009.00912.x,Q73173755
10.1080/14636778.2014.998817,Q73168881
10.1016/j.futures.2010.07.003,Q73140393
10.1111/bij.12516,Q56433044
10.1109/TGRS.2013.2252015,Q73171044
10.2981/wlb.00023,Q73184004
10.1371/journal.pone.0147058,Q30391333
10.1111/j.1523-1739.2010.01470.x,Q33584009
10.1007/s10531-005-8401-2,Q56554259
10.1038/srep16503,Q30386905
10.1007/s11280-014-0303-3,Q59404823
10.1080/11263504.2012.740089,Q58482847
10.1186/s40657-015-0021-2,Q59403190
10.1016/j.ocecoaman.2013.02.014,Q73141394
10.1371/journal.pone.0096480,Q28659006
10.1002/tea.21201,Q73121603
10.1177/0963662510365663,Q62958184
10.1080/09505430903567741,Q58643644
10.1007/s10745-016-9819-8,Q73134242
10.1186/s12889-015-2617-1,Q30386478
10.1007/s10708-014-9568-4,Q73134210
10.1007/s00267-015-0457-5,Q40266703
10.1007/s10530-010-9740-9,Q56766221
10.1089/space.2015.0017,Q73169874
10.1111/ropr.12037,Q73174873
10.1177/1745691615598516,Q31025913
10.1093/scipol/scs024,Q73170021
10.1111/j.1755-263X.2012.00251.x,Q56543080
10.18474/JES15-11.1,Q74021480
10.1111/j.1523-1739.2010.01626.x,Q33777265
10.1579/0044-7447(2007)36[566:ICMABI]2.0.CO;2,Q33309999
10.1371/journal.pone.0117013,Q35203336
10.1016/j.str.2013.08.009,Q45971190
10.1111/2041-210X.12053,Q73172059
10.5751/ES-07329-200319,Q73230713
10.1177/0963662510386292,Q73177451
10.1111/cobi.12481,Q30914376
10.1177/0963662512447173,Q39391197
10.1016/j.isprsjprs.2015.09.008,Q73140694
10.3138/CPP.39.3.431,Q74021481
10.1177/0963662509104723,Q48926333
10.1023/A:1021362032676,Q73085999
10.1093/scipol/scs089,Q73170029
10.4031/MTSJ.46.5.6,Q74021487
10.2166/aqua.2011.081,Q73183903
10.1890/110274,Q73183812
10.1186/1472-6785-13-13,Q28704282
10.1093/scipol/scu002,Q73170044
10.1080/01972243.2014.875783,Q56891826
10.2112/JCOASTRES-D-14-00170.1,Q73183880
10.3390/f5123295,Q56554301
10.1111/aje.12199,Q58636152
10.1016/j.biocon.2015.01.003,Q60289989
10.2112/JCOASTRES-D-13-00001.1,Q73183878
10.1111/2041-210X.12204,Q58473047
10.1086/676118,Q73169793
10.1016/j.jenvman.2010.03.010,Q47860301
10.5751/ES-07988-210122,Q56421022
10.1177/0022146513484473,Q38100096
10.1111/j.1365-2907.2011.00208.x,Q73173694
10.1111/j.1365-2664.2005.01059.x,Q73173673
10.1080/17538947.2014.1002865,Q73168987
10.1007/s11069-013-0724-9,Q61068346
10.1007/s11036-016-0682-z,Q59296836
10.1080/00438243.2012.736273,Q57753400
10.1890/110283,Q73183823
10.1071/AM15019,Q57199110
10.1177/1075547005281532,Q57564067
10.1016/j.cosust.2015.09.005,Q73139987
10.1080/00140139.2015.1052610,Q73166957
10.1017/S0269889711000032,Q73165724
10.1080/00330124.2011.566508,Q73167023
10.1111/j.1472-4642.2012.00883.x,Q56557325
10.1525/bio.2011.61.10.6,Q56740164
10.1525/bio.2013.63.8.7,Q56486838
10.1093/aesa/sav061,Q73169888
10.1016/j.actaastro.2010.06.015,Q73137336
10.1057/biosoc.2010.11,Q74021495
10.1177/1075547009339050,Q74021499
10.3390/ijgi4031512,Q59388262
10.1016/j.jnc.2011.05.004,Q73140802
10.1111/j.1751-8369.2009.00106.x,Q56092004
10.1177/0162243909340262,Q73177299
10.1371/journal.pntd.0004551,Q24288742
10.1080/13669877.2015.1042507,Q73168806
10.22323/2.14020302,Q73472440
10.1111/gcb.13070,Q30996565
10.1080/03066150.2016.1141198,Q57597077
10.1007/s00484-013-0742-z,Q30679560
10.1007/s10551-010-0731-7,Q57922250
10.1007/s10344-013-0717-8,Q56884430
10.1080/03057070.2015.1049484,Q73167123
10.1007/s11852-016-0423-2,Q56411480
10.1016/S0308-521X(01)00102-0,Q73142065
10.1080/02626667.2013.827792,Q73167107
10.1002/tea.21188,Q73121592
10.1071/WR13223,Q58657048
10.1177/1075547015585006,Q60502292
10.1089/omi.2016.0032,Q39737056
10.1177/0309133309359893,Q58422710
10.1007/s11948-011-9316-9,Q48564286
10.1007/s00267-013-0121-x,Q43936566
10.1080/01426397.2012.716028,Q73167061
10.1016/j.landurbplan.2011.02.003,Q60517801
10.1177/1075547014534076,Q73180476
10.1684/sss.2009.0206,Q73183570
10.1080/00049182.2016.1138842,Q62928997
10.1080/09537325.2014.902436,Q57768894
10.1017/CBO9781139197007.008,Q74021505
10.1177/0162243913485450,Q58422675
10.1016/j.jenvman.2007.08.031,Q42663605
10.7554/eLife.07460,Q35895220
10.1890/110185,Q56687038
10.1007/s00267-010-9512-4,Q34138272
10.1109/THMS.2015.2463082,Q73171047
10.1890/12-1366.1,Q42007155
10.1371/journal.pone.0111433,Q33442006
10.1023/A:1025593728986,Q51195923
10.1016/j.ocecoaman.2014.08.011,Q73141399
10.1016/j.biocon.2015.02.023,Q59546715
10.1111/conl.12024,Q56554274
10.1140/epjst/e2012-01707-y,Q73175127
10.1162/LEON_a_00557,Q73177243
10.1080/08003831.2014.904619,Q73167163
10.1111/j.1523-1739.2008.01063.x,Q51678852
10.1016/j.ijggc.2014.10.022,Q57764148
10.1177/0162243909345835,Q73177300
10.1071/WR13197,Q56458864
10.1111/ibi.12367,Q58472989
10.1111/1365-2664.12256,Q30946770
10.1371/journal.pone.0095769,Q30000641
10.1017/S0030605314000313,Q73142099
10.1098/rspb.2014.1734,Q51154121
10.1007/s10144-014-0433-6,Q60525803
10.1111/j.1365-2427.2006.01617.x,Q73173660
10.1111/ecog.01176,Q73172236
10.1007/s11252-014-0365-0,Q57060002
10.1109/IGCC.2012.6322258,Q74021510
10.1371/journal.pone.0138071,Q35784802
10.1016/j.gloenvcha.2010.09.007,Q58053546
10.1016/j.gloenvcha.2014.04.005,Q73140450
10.1177/0963662510362658,Q57748431
10.1016/j.ocecoaman.2015.06.012,Q73141404
10.1177/0963662512455296,Q43765332
10.1080/00049182.2015.1080344,Q73166906
10.1177/0963662510362657,Q34187347
10.1007/s10745-013-9573-0,Q73134240
10.2993/0278-0771-34.3.315,Q74021513
10.1111/1468-2451.00383,Q73172049
10.1093/acprof:oso/9780198745501.003.0015,Q74021517
10.1080/01426397.2014.902921,Q57675457
10.1177/0309133309342650,Q60570146
10.1002/2014GL061462,Q73117260
10.1002/2015GL063709,Q73117276
10.1002/ecs2.1325,Q73119831
10.1007/s10531-012-0347-6,Q60314698
10.5334/cstp.30,Q58711749
10.1016/j.apgeog.2014.10.005,Q56441539
10.1007/s10641-015-0435-z,Q73133942
10.1371/journal.pone.0121874,Q28650484
10.1177/0963662515600966,Q30378637
10.1080/00045608.2011.641861,Q58175290
10.1007/s13280-015-0709-x,Q30387194
10.1177/0963662514530374,Q21820581
10.1080/08941920.2011.578119,Q73167177
10.1016/j.marpolbul.2013.01.015,Q46286663
10.1016/j.marpolbul.2013.07.009,Q73141132
10.1016/j.jglr.2015.10.015,Q73140783
10.1177/0162243914550319,Q73177308
10.1007/s10530-013-0582-0,Q56450430
10.1016/j.apgeog.2011.12.007,Q73139163
10.3390/ijgi2041066,Q73184867
10.1016/j.compenvurbsys.2010.02.006,Q73139796
10.1177/1075547011432804,Q73180448
10.1111/tgis.12087,Q73174889
10.1111/cobi.12475,Q38695714
10.1525/bio.2011.61.3.8,Q73183442
10.1016/j.socscimed.2012.09.048,Q39494326
10.1007/s11024-010-9160-0,Q73135107
10.1080/21548455.2015.1016134,Q61993896
10.1080/17524032.2014.993412,Q73168965
10.1016/j.scitotenv.2016.02.128,Q38898781
10.3197/096327115X14345368709907,Q57764146
10.3157/061.141.0301,Q73184057
10.2307/1073675,Q73183944
10.1016/j.biocon.2014.10.013,Q73139292
10.1016/j.envres.2003.08.003,Q39685325
10.1016/j.apgeog.2016.01.005,Q73139195
10.1016/j.future.2015.07.005,Q73140389
10.1007/s13280-015-0715-z,Q35823808
10.1016/j.landurbplan.2011.05.008,Q57019896
10.1017/S0959270914000276,Q56437829
10.1038/510035c,Q46883996
10.1016/j.ecoinf.2015.11.014,Q56421918
10.1080/13658816.2011.619501,Q73168704
10.1007/s12124-011-9157-8,Q53047445
10.3390/s130100021,Q36616208
10.1080/13669870903305911,Q73168802
10.1037/a0029041,Q41584801
10.1007/s10530-013-0601-1,Q56453254
10.3390/w7073531,Q57535826
10.1016/j.envpol.2013.07.045,Q53317794
10.1111/ddi.12189,Q57199133
10.1016/j.envsoft.2015.11.016,Q63613903
10.1177/0306312711414759,Q59344805
10.1016/j.geoforum.2014.02.002,Q73140424
10.1890/10-0489.1,Q22305876
10.1111/1365-2664.12208,Q63627875
10.1007/s10531-005-8414-x,Q56554269
10.1097/01.GIM.0000093976.08649.1B,Q35582392
10.1007/s10531-005-8389-7,Q56554263
10.1016/j.sajb.2016.02.054,Q56417551
10.5334/cstp.20,Q58711758
10.1007/s10531-005-8375-0,Q56554248
10.1016/j.jnc.2012.12.004,Q57231670
10.1068/a45631,Q73166314
10.1111/1745-5871.12150,Q73172053
10.1007/BF00547494,Q40149762
10.1109/BigDataService.2015.37,Q73170928
10.1111/j.1468-4004.2011.52210.x,Q57719822
10.1016/j.apgeog.2013.11.003,Q58100442
10.22323/2.15010204,Q73472445
10.1177/1075547015609322,Q73180489
10.1016/j.jnc.2012.08.002,Q73140974
10.1007/s10641-011-9897-9,Q73133941
10.1371/journal.pone.0146038,Q28601273
10.1177/00027640021956387,Q73177264
10.1136/bmjqs.2010.047985,Q30396326
10.1111/gcb.13122,Q40321266
10.1162/LEON_a_00279,Q74021525
10.1007/s11051-014-2595-8,Q34250554
10.1201/b11126-33,Q74021529
10.1177/0963662514528080,Q73180355
10.1177/1075547005281531,Q73180417
10.1016/j.respol.2013.12.006,Q73141522
10.1080/10798587.2007.10642951,Q74021532
10.1890/110276,Q73183815
10.1177/0306312709341500,Q73177361
10.1007/s10841-015-9829-7,Q60366452
10.1007/s00267-012-9866-x,Q39619801
10.1016/j.ijdrr.2015.06.010,Q58654838
10.1111/j.1467-9272.2006.00526.x,Q59620364
10.1179/1752270614Y.0000000103,Q73180560
10.1068/a45184,Q57538219
10.1080/1369118X.2015.1125936,Q73168818
10.1111/j.1467-9663.2009.00563.x,Q60204254
10.1068/a44483,Q73166306
10.1080/09500693.2012.662609,Q73168011
10.1177/0963662510383385,Q35902480
10.22230/cjc.2016v41n2a3043,Q74021534
10.1371/journal.pone.0084035,Q35073225
10.1635/053.163.0109,Q73183528
10.1038/nm0614-565,Q74021537
10.1126/science.1251554,Q34412492
10.1073/pnas.1202383109,Q28727138
10.1525/bio.2013.63.11.8,Q58042416
10.1016/j.marpol.2014.01.001,Q73141110
10.1007/s10344-014-0848-6,Q73133301
10.1080/21548455.2014.995743,Q73169749
10.1098/rsos.160091,Q28601788
10.1111/ddi.12428,Q73172211
10.1111/j.1539-6924.2008.01192.x,Q40006764
10.1016/S0006-3207(02)00253-7,Q73142049
10.1086/498593,Q73169791
10.3375/043.036.0210,Q73184644
10.5751/ES-04955-170402,Q73230698
10.2902/1725-0463.2015.10.art7,Q73183978
10.1007/s10113-013-0493-8,Q73133289
10.1002/ece3.1101,Q30427402
10.1890/09-0265.1,Q47627913
10.1525/auk.2012.11129,Q73183430
10.1016/j.ascom.2014.04.003,Q73139235
10.7717/pcerj.273,Q73230774
10.1111/icad.12065,Q73173630
10.1111/j.1467-8306.2004.09401003.x,Q58302509
10.1177/1075547010389818,Q73180432
10.1145/2717318,Q73175149
10.1016/j.socscimed.2004.06.016,Q58838694
10.1080/14636778.2012.687138,Q36500219
10.1080/17538947.2014.976774,Q73168988
10.1016/j.funeco.2011.10.003,Q73140385
10.1016/j.landurbplan.2013.12.017,Q73141057
10.1080/00045608.2013.846159,Q57766125
10.1371/journal.pone.0127706,Q30979232
10.1016/j.biocon.2011.04.023,Q73139279
10.20506/rst.33.2.2306,Q28645763
10.1080/01587919.2012.692053,Q73167081
10.22323/2.14040302,Q74021542
10.1515/iwp-2015-0029,Q73183405
10.1177/1075547012443021,Q73180457
10.3138/cart.50.4.3130,Q73184026
10.1177/0963662507084202,Q57675949
10.1080/00330124.2015.1065547,Q73167040
10.3390/f5071653,Q58828513
10.1111/icad.12084,Q55982176
10.1111/1365-2664.12158,Q73172003
10.1111/tgis.12075,Q73174888
10.1093/biosci/biw005,Q57007788
10.1177/0309132513518831,Q73177389
10.1016/j.socscimed.2005.12.011,Q36395801
10.1007/s11191-015-9769-3,Q73135181
10.1559/152304063813,Q73183483
10.1080/00033790.2014.904633,Q38559626
10.1371/journal.pbio.1001761,Q41871268
10.1002/jwmg.326,Q57233938
10.1525/california/9780520273092.003.0008,Q74021545
10.11606/issn.2316-9079.v12i2p107-115,Q74021548
10.1016/j.jth.2014.03.003,Q35051359
10.1080/08941920903403115,Q73167999
10.1080/13549839.2014.929094,Q73168231
10.1002/humu.22852,Q40648775
10.1371/journal.pone.0131812,Q35705427
10.1007/s11024-010-9157-8,Q34394115
10.1016/j.envsci.2014.12.017,Q73140081
10.1007/s11119-012-9267-4,Q73135160
10.1007/s10531-005-8413-y,Q56487389
10.1016/j.pce.2011.07.039,Q73141443
10.1177/0309132507081493,Q73177372
10.4018/978-1-59140-845-1.ch004,Q74021552
10.4018/978-1-60960-621-3.ch020,Q73186849
10.1111/1477-8947.12029,Q73172051
10.1016/j.apgeog.2010.11.014,Q73139159
10.1016/j.apgeog.2014.12.004,Q59788056
10.5558/tfc2012-051,Q73230676
10.1177/1077699013503159,Q58832223
10.1080/17445647.2014.891265,Q73168956
10.1007/s13753-014-0013-6,Q59394874
10.1162/LEON_a_00096,Q73177237
10.1016/j.pmcj.2012.09.002,Q73141457
10.1007/s10531-005-8377-y,Q73133322
10.1016/j.apgeog.2014.01.002,Q30833971
10.1890/110277,Q73183817
10.1080/21548455.2014.942241,Q73169745
10.1109/ISSNIP.2014.6827629,Q74021555
10.1016/j.biocon.2009.02.003,Q73139266
10.1007/s11160-012-9295-1,Q73135163
10.1007/s10980-015-0199-z,Q73134293
10.1023/A:1025549913965,Q30882610
10.1016/j.marpolbul.2014.09.007,Q43323793
10.1177/0963662509352952,Q39823920
10.1109/TPAMI.2013.2297711,Q40558073
10.1093/scipol/sct052,Q73170035
10.2217/PME.12.19,Q73183925
10.1088/0004-637X/802/2/127,Q57524271
10.18473/lepi.v68i3.a3,Q60287224
10.1525/bio.2010.60.3.3,Q73183436
